,0,1
720,contract-to-,3.5
721,interpret sql,3.5
722,customer focused,3.5
723,prioritizes multiple,3.5
724,bs/ba,3.5
725,previous exposure,3.5
726,unique problems,3.5
727,plm system,3.416666666666667
728,configuration management,3.4
729,lifecycle management,3.4
730,seattle location,3.333333333333333
731,manufacturing plans,3.333333333333333
732,enable companies,3.333333333333333
733,wilsonville site,3.333333333333333
734,written reports,3.333333333333333
735,driven environment,3.25
736,siemens plm,3.25
737,system administration,3.166666666666667
738,agile analyst,3.166666666666667
739,finance mentor,2.9523809523809526
740,financial performance,2.916666666666667
741,category finance,2.7857142857142856
742,long,2.0
743,teams,2.0
744,plm,1.75
745,environment,1.75
746,learning,1.6666666666666667
747,complex,1.6666666666666667
748,system,1.6666666666666667
749,financial,1.6666666666666667
750,mentor,1.6666666666666667
751,change,1.5
752,administration,1.5
753,customer,1.5
754,issues,1.5
755,sql,1.5
756,contract,1.5
757,category,1.5
758,siemens,1.5
759,multiple,1.5
760,researching,1.5
761,driven,1.5
762,bs,1.5
763,unique,1.5
764,exposure,1.5
765,management,1.4
766,manufacturing,1.3333333333333333
767,companies,1.3333333333333333
768,location,1.3333333333333333
769,wilsonville,1.3333333333333333
770,reports,1.3333333333333333
771,finance,1.2857142857142858
772,performance,1.25
773,analyst,1.1666666666666667
774,analyst /,1.1666666666666667
775,description,1.0
776,fro,1.0
777,************************************************************************************** title,1.0
778,duration,1.0
779,extensions,1.0
780,conversion,1.0
781,center,1.0
782,cycle,1.0
783,infrastructure,1.0
784,responsive,1.0
785,flexible,1.0
786,succeed,1.0
787,motivated,1.0
788,implement,1.0
789,participates,1.0
790,coordination,1.0
791,relative,1.0
792,closely,1.0
793,configurations,1.0
794,configure,1.0
795,adherence,1.0
796,customizations,1.0
797,facilitating,1.0
798,leading,1.0
799,mapping,1.0
800,collection,1.0
801,releases,1.0
802,maintenance,1.0
803,driving,1.0
804,enhance,1.0
805,verifying,1.0
806,content,1.0
807,evaluating,1.0
808,cohesiveness,1.0
809,ensures,1.0
810,implemented,1.0
811,advocate,1.0
812,users,1.0
813,troubleshooting,1.0
814,bachelor,1.0
815,/industrial,1.0
816,organizational,1.0
817,interests,1.0
818,drawings,1.0
819,specifications,1.0
820,demonstrated,1.0
821,extract,1.0
822,player,1.0
823,diverse,1.0
824,ambiguous,1.0
825,positions,1.0
826,things,1.0
827,pride,1.0
828,sourcing,1.0
829,ready,1.0
830,vendors,1.0
831,microsoft,1.0
832,amazon,1.0
833,times,1.0
834,hear,1.0
835,feel,1.0
836,resumes,1.0
837,void,1.0
838,contacted,1.0
839,foot,1.0
840,door,1.0
841,title,1.0
842,usa,1.0
843,contributing,1.0
844,creation,1.0
845,airplanes,1.0
846,faster,1.0
847,push,1.0
848,boundaries,1.0
849,deliver,1.0
850,chip,1.0
851,board,1.0
852,founded,1.0
853,headquartered,1.0
854,portland,1.0
855,sr,1.0
856,manager,1.0
857,unit,1.0
858,structures,1.0
859,dashboards,1.0
860,managing,1.0
861,assets,1.0
862,serves,1.0
863,profitability,1.0
864,providing,1.0
865,insight,1.0
866,key,1.0
867,global,1.0
868,involving,1.0
869,aspects,1.0
870,mitigate,1.0
871,risks,1.0
872,monitoring,1.0
873,dashboards •,1.0
874,major,1.0
875,impact,1.0
876,monthly,1.0
877,capabilities,1.0
878,enhancements,1.0
879,• enhance,1.0
880,materials,1.0
881,evangelize,1.0
882,functional,1.0
883,units •,1.0
884,visualization,1.0
885,qlikview,1.0
886,tableau,1.0
887,alteryx,1.0
888,metadata,1.0
889,reference,1.0
890,write,1.0
891,read,1.0
892,report,1.0
893,dashboard,1.0
894,hierarchical,1.0
895,enterprise,1.0
896,flows,1.0
897,erp,1.0
898,crm,1.0
899,hr,1.0
900,marketing,1.0
901,collecting,1.0
902,analyzing,1.0
903,detailed,1.0
904,transactional,1.0
905,efficient,1.0
906,intersections,1.0
907,accounting,1.0
908,similar,1.0
909,relevant,1.0
910,fostering,1.0
911,promotes,1.0
912,balance,1.0
913,class,1.0
914,reimbursement,1.0
915,insurance,1.0
916,generous,1.0
917,plan,1.0
918,onsite,1.0
919,child,1.0
920,expression,1.0
921,pymetrics,1.0
922,reinventing,1.0
923,recruiting,1.0
924,matching,1.0
925,jobs,1.0
926,charge,1.0
927,evolving,1.0
928,growing,1.0
929,amazing,1.0
930,unleash,1.0
931,hiring,1.0
932,talented,1.0
933,curiosity,1.0
934,propensity,1.0
935,exploring,1.0
936,draw,1.0
937,makes,1.0
938,set,1.0
939,explore,1.0
940,fit,1.0
941,statistics,1.0
942,large,1.0
943,processing,1.0
944,manipulation,1.0
945,python,1.0
946,scipy,1.0
947,scikit,1.0
948,pandas,1.0
949,numpy,1.0
950,critically,1.0
951,creative,1.0
952,non-,1.0
953,audiences,1.0
954,prefers,1.0
955,medical,1.0
956,dental &,1.0
957,vacation,1.0
958,maternity,1.0
959,paternity,1.0
960,401k,1.0
961,budget,1.0
962,urgently,1.0
963,w2,1.0
964,pearland,1.0
965,tx,1.0
966,interested,1.0
967,call,1.0
968,send,1.0
969,net,1.0
970,mentioned,1.0
971,linux,1.0
972,nice,1.0
973,phd,1.0
974,29666,0.0
975,/,0.0
976,8777,0.0
977,1981,0.0
978,•,0.0
979,• 2-5+,0.0
980,0-2,0.0
981,+,0.0
982,&,0.0
983,832-241-2463,0.0
984,8+,0.0
985,4-5+,0.0
986,2+,0.0
987,short/long term,8.0
988,neuroscience-based assessments,8.0
989,problem-solving teams,7.166666666666667
990,solving problems,4.5
991,e-commerce,4.0
992,challenging problems,4.0
993,completeness coordinating,4.0
994,discipline excellent,4.0
995,timely decisions,4.0
996,hand proven,4.0
997,influence peers,4.0
998,facilitate agreement,4.0
999,oracle ebs,4.0
1000,verbal communication,4.0
1001,internet-speed,4.0
1002,greater seattle,4.0
1003,primarily deal,4.0
1004,cell phones,4.0
1005,cost-effectively,4.0
1006,ensuring trusted,4.0
1007,company-wide,4.0
1008,strategic partner,4.0
1009,ad-hoc,4.0
1010,automation tool,4.0
1011,relational databases,4.0
1012,developed project,4.0
1013,• self-starter,4.0
1014,healthy work-,4.0
1015,basketball courts,4.0
1016,sand volleyball,4.0
1017,full potential,4.0
1018,remove bias,4.0
